iter	Passed	Remaining
0	154	154187
1	159	79824
2	162	54003
3	164	40970
4	167	33275
5	169	28162
6	171	24342
7	173	21572
8	177	19575
9	181	17973
10	183	16453
11	184	15214
12	187	14220
13	190	13421
14	192	12661
15	201	12396
16	206	11928
17	207	11334
18	208	10789
19	216	10602
20	218	10206
21	221	9827
22	223	9513
23	229	9325
24	231	9024
25	236	8861
26	245	8857
27	249	8658
28	252	8461
29	254	8218
30	267	8367
31	271	8216
32	275	8077
33	281	7998
34	282	7801
35	294	7894
36	297	7748
37	299	7591
38	303	7486
39	306	7363
40	312	7309
41	314	7173
42	316	7048
43	318	6919
44	320	6805
45	323	6700
46	326	6615
47	327	6496
48	334	6489
49	337	6412
50	342	6373
51	347	6340
52	350	6258
53	353	6195
54	357	6137
55	358	6045
56	369	6114
57	372	6047
58	374	5971
59	377	5920
60	380	5854
61	383	5795
62	387	5769
63	389	5695
64	425	6115
65	426	6041
66	438	6107
67	440	6041
68	443	5979
69	448	5953
70	450	5892
71	451	5820
72	452	5750
73	465	5831
74	467	5771
75	469	5703
76	474	5690
77	476	5637
78	479	5587
79	481	5531
80	482	5474
81	487	5461
82	489	5402
83	492	5369
84	495	5333
85	496	5281
86	499	5238
87	501	5197
88	505	5170
89	507	5132
90	516	5154
91	518	5115
92	520	5080
93	522	5039
94	524	4999
95	526	4953
96	531	4949
97	533	4911
98	535	4876
99	539	4853
100	540	4813
101	545	4801
102	547	4769
103	549	4737
104	552	4710
105	554	4676
106	555	4636
107	557	4608
108	559	4571
109	561	4544
110	563	4513
111	566	4487
112	568	4458
113	569	4423
114	570	4386
115	571	4351
116	573	4326
117	579	4332
118	582	4311
119	584	4286
120	586	4262
121	588	4236
122	591	4215
123	596	4215
124	603	4226
125	606	4209
126	607	4178
127	609	4149
128	621	4197
129	624	4176
130	625	4147
131	626	4119
132	627	4091
133	629	4066
134	630	4042
135	632	4015
136	634	3999
137	636	3975
138	637	3949
139	638	3925
140	640	3901
141	641	3874
142	642	3849
143	645	3836
144	647	3816
145	648	3796
146	650	3773
147	652	3757
148	654	3736
149	655	3714
150	656	3693
151	659	3678
152	660	3658
153	662	3639
154	667	3637
155	668	3617
156	670	3598
157	671	3579
158	678	3586
159	684	3593
160	685	3571
161	687	3554
162	688	3534
163	690	3520
164	703	3557
165	711	3575
166	714	3562
167	715	3543
168	716	3525
169	718	3509
170	728	3530
171	730	3517
172	732	3501
173	734	3485
174	735	3467
175	739	3460
176	742	3450
177	743	3433
178	744	3415
179	745	3397
180	747	3382
181	748	3366
182	750	3351
183	753	3342
184	755	3326
185	756	3311
186	758	3295
187	761	3287
188	762	3273
189	776	3310
190	780	3306
191	781	3290
192	784	3278
193	786	3266
194	788	3254
195	789	3240
196	791	3225
197	792	3211
198	795	3201
199	797	3188
200	799	3179
201	802	3168
202	803	3154
203	805	3141
204	808	3135
205	810	3124
206	812	3111
207	816	3109
208	817	3094
209	818	3080
210	819	3066
211	821	3052
212	822	3037
213	823	3023
214	824	3010
215	825	2997
216	827	2984
217	827	2969
218	830	2960
219	831	2947
220	832	2935
221	834	2924
222	836	2912
223	838	2905
224	840	2894
225	841	2883
226	844	2875
227	852	2885
228	853	2874
229	855	2863
230	856	2851
231	858	2841
232	861	2835
233	863	2826
234	866	2820
235	867	2809
236	869	2797
